

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Maldives",462,"Long-term average annual precipitation in volume",4150,1987,0.5916,"E","","0"
"Mali",466,"Long-term average annual precipitation in volume",4150,1987,349.73358,"E","","0"
"Malta",470,"Long-term average annual precipitation in volume",4150,1987,0.1792,"E","","0"
"Mauritania",478,"Long-term average annual precipitation in volume",4150,1987,94.8244,"E","","0"
"Mauritius",480,"Long-term average annual precipitation in volume",4150,1987,4.16364,"E","","0"
"Mexico",484,"Long-term average annual precipitation in volume",4150,1987,1489.0,"","","6467"
"Mongolia",496,"Long-term average annual precipitation in volume",4150,1987,376.95292,"E","","0"
"Morocco",504,"Long-term average annual precipitation in volume",4150,1987,154.5063,"E","","0"
"Mozambique",508,"Long-term average annual precipitation in volume",4150,1987,824.96016,"E","","0"
"Myanmar",104,"Long-term average annual precipitation in volume",4150,1987,1414.74969,"E","","0"
"Namibia",516,"Long-term average annual precipitation in volume",4150,1987,234.92265,"E","","0"
"Nepal",524,"Long-term average annual precipitation in volume",4150,1987,220.77,"E","","0"
"Netherlands",528,"Long-term average annual precipitation in volume",4150,1987,32.31034,"E","","0"
"New Zealand",554,"Long-term average annual precipitation in volume",4150,1987,463.67372,"E","","0"
"Nicaragua",558,"Long-term average annual precipitation in volume",4150,1987,297.2436,"E","","0"
"Niger",562,"Long-term average annual precipitation in volume",4150,1987,191.317,"E","","0"
"Nigeria",566,"Long-term average annual precipitation in volume",4150,1987,1062.3355,"E","","0"
"Norway",578,"Long-term average annual precipitation in volume",4150,1987,544.64452,"E","","0"
"Oman",512,"Long-term average annual precipitation in volume",4150,1987,38.6875,"E","","0"
"Pakistan",586,"Long-term average annual precipitation in volume",4150,1987,393.2734,"E","","0"
"Palestine",275,"Long-term average annual precipitation in volume",4150,1987,2.42004,"E","","0"
"Panama",591,"Long-term average annual precipitation in volume",4150,1987,220.82976,"E","","0"
"Papua New Guinea",598,"Long-term average annual precipitation in volume",4150,1987,1454.24328,"E","","0"
"Paraguay",600,"Long-term average annual precipitation in volume",4150,1987,459.6,"","","6433"
"Peru",604,"Long-term average annual precipitation in volume",4150,1987,2234.0,"","","6433"
"Philippines",608,"Long-term average annual precipitation in volume",4150,1987,704.4,"E","","0"
"Poland",616,"Long-term average annual precipitation in volume",4150,1987,187.614,"E","","0"
"Portugal",620,"Long-term average annual precipitation in volume",4150,1987,78.67048,"E","","0"
"Puerto Rico",630,"Long-term average annual precipitation in volume",4150,1987,18.21898,"E","","0"
"Qatar",634,"Long-term average annual precipitation in volume",4150,1987,0.85914,"E","","0"
"Republic of Korea",410,"Long-term average annual precipitation in volume",4150,1987,126.45724,"E","","0"
"Romania",642,"Long-term average annual precipitation in volume",4150,1987,151.85443,"E","","0"
"Rwanda",646,"Long-term average annual precipitation in volume",4150,1987,31.92408,"E","","0"
"Saint Kitts and Nevis",659,"Long-term average annual precipitation in volume",4150,1987,0.37102,"E","","0"
"Saint Lucia",662,"Long-term average annual precipitation in volume",4150,1987,1.42662,"E","","0"
"Saint Vincent and the Grenadines",670,"Long-term average annual precipitation in volume",4150,1987,0.61737,"E","","0"
"Samoa",882,"Long-term average annual precipitation in volume",4150,1987,8.1792,"E","","0"
"Sao Tome and Principe",678,"Long-term average annual precipitation in volume",4150,1987,3.072,"E","","0"
"Saudi Arabia",682,"Long-term average annual precipitation in volume",4150,1987,126.83171,"E","","0"
"Senegal",686,"Long-term average annual precipitation in volume",4150,1987,134.94306,"E","","0"
"Seychelles",690,"Long-term average annual precipitation in volume",4150,1987,1.0718,"E","","0"
"Sierra Leone",694,"Long-term average annual precipitation in volume",4150,1987,182.6298,"E","","0"
"Singapore",702,"Long-term average annual precipitation in volume",4150,1987,1.69796,"E","","0"
"Solomon Islands",90,"Long-term average annual precipitation in volume",4150,1987,87.5092,"E","","0"
"Somalia",706,"Long-term average annual precipitation in volume",4150,1987,179.82012,"E","","0"
"South Africa",710,"Long-term average annual precipitation in volume",4150,1987,603.44955,"E","","0"
"Spain",724,"Long-term average annual precipitation in volume",4150,1987,321.80964,"E","","0"
"Sri Lanka",144,"Long-term average annual precipitation in volume",4150,1987,112.32432,"E","","0"
"Suriname",740,"Long-term average annual precipitation in volume",4150,1987,381.9,"","","6433"
"Sweden",752,"Long-term average annual precipitation in volume",4150,1987,280.9872,"E","","0"
"Switzerland",756,"Long-term average annual precipitation in volume",4150,1987,63.46273,"E","","0"
"Syrian Arab Republic",760,"Long-term average annual precipitation in volume",4150,1987,46.66536,"E","","0"
"Thailand",764,"Long-term average annual precipitation in volume",4150,1987,832.28064,"E","","0"
"Timor-Leste",626,"Long-term average annual precipitation in volume",4150,1987,22.305,"E","","0"
"Togo",768,"Long-term average annual precipitation in volume",4150,1987,66.33072,"E","","0"
"Trinidad and Tobago",780,"Long-term average annual precipitation in volume",4150,1987,11.286,"E","","0"
"Tunisia",788,"Long-term average annual precipitation in volume",4150,1987,33.86727,"E","","0"
"Turkey",792,"Long-term average annual precipitation in volume",4150,1987,465.71255,"E","","0"
"Uganda",800,"Long-term average annual precipitation in volume",4150,1987,285.029,"E","","0"
"United Arab Emirates",784,"Long-term average annual precipitation in volume",4150,1987,6.5208,"E","","0"
"United Kingdom",826,"Long-term average annual precipitation in volume",4150,1987,297.2042,"E","","0"
"United Republic of Tanzania",834,"Long-term average annual precipitation in volume",4150,1987,1014.5583,"E","","0"
"United States of America",840,"Long-term average annual precipitation in volume",4150,1987,6884.79935,"E","","0"
"Uruguay",858,"Long-term average annual precipitation in volume",4150,1987,229.1,"","","6433"
"Vanuatu",548,"Long-term average annual precipitation in volume",4150,1987,24.38,"E","","0"
"Venezuela (Bolivarian Republic of)",862,"Long-term average annual precipitation in volume",4150,1987,1864.0,"","","6433"
"Viet Nam",704,"Long-term average annual precipitation in volume",4150,1987,601.56735,"E","","0"
"Yemen",887,"Long-term average annual precipitation in volume",4150,1987,88.17099,"E","","0"
"Zambia",894,"Long-term average annual precipitation in volume",4150,1987,767.6622,"E","","0"
"Zimbabwe",716,"Long-term average annual precipitation in volume",4150,1987,256.72932,"E","","0"
"Afghanistan",4,"National Rainfall Index (NRI)",4472,1987,302.15,"I","","0"
"Albania",8,"National Rainfall Index (NRI)",4472,1987,950.6,"I","","0"
"Algeria",12,"National Rainfall Index (NRI)",4472,1987,292.9666666667,"I","","0"
"Angola",24,"National Rainfall Index (NRI)",4472,1987,1113.0,"I","","0"
"Argentina",32,"National Rainfall Index (NRI)",4472,1987,963.7,"I","","0"
"Australia",36,"National Rainfall Index (NRI)",4472,1987,660.08,"I","","0"
"Austria",40,"National Rainfall Index (NRI)",4472,1987,947.65,"I","","0"
"Bahamas",44,"National Rainfall Index (NRI)",4472,1987,1134.1,"I","","0"
"Bangladesh",50,"National Rainfall Index (NRI)",4472,1987,2611.0,"X","","5966"
"Belgium",56,"National Rainfall Index (NRI)",4472,1987,912.34,"I","","0"
"Belize",84,"National Rainfall Index (NRI)",4472,1987,2028.4,"I","","0"
"Benin",204,"National Rainfall Index (NRI)",4472,1987,913.0,"X","","5966"
"Bhutan",64,"National Rainfall Index (NRI)",4472,1987,2838.0,"X","","5966"
"Bolivia (Plurinational State of)",68,"National Rainfall Index (NRI)",4472,1987,1632.0,"I","","0"
"Botswana",72,"National Rainfall Index (NRI)",4472,1987,332.575,"I","","0"
"Brazil",76,"National Rainfall Index (NRI)",4472,1987,1974.0,"I","","0"
"Brunei Darussalam",96,"National Rainfall Index (NRI)",4472,1987,3528.0,"I","","0"
"Bulgaria",100,"National Rainfall Index (NRI)",4472,1987,534.3,"I","","0"
"Burkina Faso",854,"National Rainfall Index (NRI)",4472,1987,697.1,"X","","5966"
"Burundi",108,"National Rainfall Index (NRI)",4472,1987,960.6571428571,"I","","0"
"Cabo Verde",132,"National Rainfall Index (NRI)",4472,1987,144.0,"I","","0"
"Cambodia",116,"National Rainfall Index (NRI)",4472,1987,1982.0,"I","","0"
"Cameroon",120,"National Rainfall Index (NRI)",4472,1987,1606.25,"I","","0"
"Canada",124,"National Rainfall Index (NRI)",4472,1987,730.55,"I","","0"
"Central African Republic",140,"National Rainfall Index (NRI)",4472,1987,1296.0,"X","","5966"
"Chad",148,"National Rainfall Index (NRI)",4472,1987,590.5285714286,"I","","0"
"Chile",152,"National Rainfall Index (NRI)",4472,1987,2074.5,"I","","0"
"China",156,"National Rainfall Index (NRI)",4472,1987,1005.8333333333,"I","","0"
"Colombia",170,"National Rainfall Index (NRI)",4472,1987,2848.3333333333,"I","","0"
"Comoros",174,"National Rainfall Index (NRI)",4472,1987,2619.0,"I","","0"
"Congo",178,"National Rainfall Index (NRI)",4472,1987,1603.0,"X","","5966"
"Costa Rica",188,"National Rainfall Index (NRI)",4472,1987,2849.2,"I","","0"
"Côte d'Ivoire",384,"National Rainfall Index (NRI)",4472,1987,1275.0,"X","","5966"
"Cuba",192,"National Rainfall Index (NRI)",4472,1987,1208.0,"X","","5966"
"Cyprus",196,"National Rainfall Index (NRI)",4472,1987,411.48,"I","","0"
"Democratic Republic of the Congo",180,"National Rainfall Index (NRI)",4472,1987,1559.0,"I","","0"
"Denmark",208,"National Rainfall Index (NRI)",4472,1987,631.3625,"I","","0"
"Djibouti",262,"National Rainfall Index (NRI)",4472,1987,98.2,"I","","0"
"Dominican Republic",214,"National Rainfall Index (NRI)",4472,1987,1284.4,"I","","0"
"Ecuador",218,"National Rainfall Index (NRI)",4472,1987,2403.0,"X","","5966"
"Egypt",818,"National Rainfall Index (NRI)",4472,1987,137.5428571429,"I","","0"
"El Salvador",222,"National Rainfall Index (NRI)",4472,1987,1653.2,"I","","0"
"Equatorial Guinea",226,"National Rainfall Index (NRI)",4472,1987,2616.25,"I","","0"
"Eswatini",748,"National Rainfall Index (NRI)",4472,1987,738.125,"I","","0"
"Fiji",242,"National Rainfall Index (NRI)",4472,1987,2291.25,"I","","0"
"Finland",246,"National Rainfall Index (NRI)",4472,1987,581.9714285714,"I","","0"
"France",250,"National Rainfall Index (NRI)",4472,1987,664.8333333333,"I","","0"
"Gabon",266,"National Rainfall Index (NRI)",4472,1987,2020.5,"I","","0"
"Gambia",270,"National Rainfall Index (NRI)",4472,1987,725.5166666667,"I","","0"
"Germany",276,"National Rainfall Index (NRI)",4472,1987,749.525,"I","","0"
"Ghana",288,"National Rainfall Index (NRI)",4472,1987,1253.0,"X","","5966"
"Greece",300,"National Rainfall Index (NRI)",4472,1987,609.275,"I","","0"
"Guatemala",320,"National Rainfall Index (NRI)",4472,1987,2403.0,"I","","0"
"Guinea",324,"National Rainfall Index (NRI)",4472,1987,1696.2,"I","","0"
"Guinea-Bissau",624,"National Rainfall Index (NRI)",4472,1987,1455.5,"I","","0"
"Guyana",328,"National Rainfall Index (NRI)",4472,1987,2132.5,"I","","0"
"Haiti",332,"National Rainfall Index (NRI)",4472,1987,1356.5,"I","","0"
"Honduras",340,"National Rainfall Index (NRI)",4472,1987,1919.0,"X","","5966"
"Hungary",348,"National Rainfall Index (NRI)",4472,1987,563.2333333333,"I","","0"
"Iceland",352,"National Rainfall Index (NRI)",4472,1987,993.8,"I","","0"
"India",356,"National Rainfall Index (NRI)",4472,1987,1646.5,"I","","0"
"Indonesia",360,"National Rainfall Index (NRI)",4472,1987,2936.3333333333,"I","","0"
"Iran (Islamic Republic of)",364,"National Rainfall Index (NRI)",4472,1987,299.4333333333,"I","","0"
"Iraq",368,"National Rainfall Index (NRI)",4472,1987,268.5428571429,"I","","0"
"Ireland",372,"National Rainfall Index (NRI)",4472,1987,1092.375,"I","","0"
"Israel",376,"National Rainfall Index (NRI)",4472,1987,433.1333333333,"I","","0"
"Italy",380,"National Rainfall Index (NRI)",4472,1987,764.0666666667,"I","","0"
"Jamaica",388,"National Rainfall Index (NRI)",4472,1987,1270.6666666667,"I","","0"
"Japan",392,"National Rainfall Index (NRI)",4472,1987,1507.0,"X","","5966"
"Jordan",400,"National Rainfall Index (NRI)",4472,1987,218.4666666667,"I","","0"
"Kenya",404,"National Rainfall Index (NRI)",4472,1987,870.6,"I","","0"
"Kuwait",414,"National Rainfall Index (NRI)",4472,1987,90.58,"X","","5966"
"Lao People's Democratic Republic",418,"National Rainfall Index (NRI)",4472,1987,1500.5,"I","","0"
"Lebanon",422,"National Rainfall Index (NRI)",4472,1987,717.2111111111,"I","","0"
"Lesotho",426,"National Rainfall Index (NRI)",4472,1987,656.0,"X","","5966"
"Liberia",430,"National Rainfall Index (NRI)",4472,1987,2162.0,"X","","5966"
"Libya",434,"National Rainfall Index (NRI)",4472,1987,160.075,"I","","0"
"Madagascar",450,"National Rainfall Index (NRI)",4472,1987,1671.2,"I","","0"
"Malawi",454,"National Rainfall Index (NRI)",4472,1987,1083.5,"I","","0"
"Malaysia",458,"National Rainfall Index (NRI)",4472,1987,2960.6,"I","","0"
"Mali",466,"National Rainfall Index (NRI)",4472,1987,565.26,"I","","0"
"Mauritania",478,"National Rainfall Index (NRI)",4472,1987,149.6714285714,"I","","0"
"Mexico",484,"National Rainfall Index (NRI)",4472,1987,1157.5,"I","","0"
"Mongolia",496,"National Rainfall Index (NRI)",4472,1987,218.5,"X","","5966"
"Morocco",504,"National Rainfall Index (NRI)",4472,1987,301.6,"I","","0"
"Mozambique",508,"National Rainfall Index (NRI)",4472,1987,945.35,"I","","0"
"Myanmar",104,"National Rainfall Index (NRI)",4472,1987,1983.0,"X","","5966"
"Namibia",516,"National Rainfall Index (NRI)",4472,1987,311.68,"I","","0"
"Nepal",524,"National Rainfall Index (NRI)",4472,1987,1689.0,"I","","0"
"Netherlands",528,"National Rainfall Index (NRI)",4472,1987,750.6,"I","","0"
"New Zealand",554,"National Rainfall Index (NRI)",4472,1987,1288.0,"X","","5966"
"Nicaragua",558,"National Rainfall Index (NRI)",4472,1987,2193.5,"I","","0"
"Niger",562,"National Rainfall Index (NRI)",4472,1987,294.4571428571,"I","","0"
"Nigeria",566,"National Rainfall Index (NRI)",4472,1987,1291.75,"I","","0"
"Norway",578,"National Rainfall Index (NRI)",4472,1987,1501.5,"I","","0"
"Oman",512,"National Rainfall Index (NRI)",4472,1987,49.2266666667,"I","","0"
"Pakistan",586,"National Rainfall Index (NRI)",4472,1987,547.025,"I","","0"
"Panama",591,"National Rainfall Index (NRI)",4472,1987,2299.8,"I","","0"
"Papua New Guinea",598,"National Rainfall Index (NRI)",4472,1987,3228.6,"I","","0"
"Paraguay",600,"National Rainfall Index (NRI)",4472,1987,1273.6,"I","","0"
"Peru",604,"National Rainfall Index (NRI)",4472,1987,2160.0,"I","","0"
"Philippines",608,"National Rainfall Index (NRI)",4472,1987,2329.8,"I","","0"
"Poland",616,"National Rainfall Index (NRI)",4472,1987,549.875,"I","","0"
"Portugal",620,"National Rainfall Index (NRI)",4472,1987,902.2,"I","","0"
"Puerto Rico",630,"National Rainfall Index (NRI)",4472,1987,1413.0,"I","","0"
"Qatar",634,"National Rainfall Index (NRI)",4472,1987,63.5625,"I","","0"
"Romania",642,"National Rainfall Index (NRI)",4472,1987,552.8,"X","","5966"
"Rwanda",646,"National Rainfall Index (NRI)",4472,1987,1036.25,"I","","0"
"Saudi Arabia",682,"National Rainfall Index (NRI)",4472,1987,189.8,"X","","5966"
"Senegal",686,"National Rainfall Index (NRI)",4472,1987,655.5,"I","","0"
"Sierra Leone",694,"National Rainfall Index (NRI)",4472,1987,2339.5,"I","","0"
"Solomon Islands",90,"National Rainfall Index (NRI)",4472,1987,3126.75,"I","","0"
"Somalia",706,"National Rainfall Index (NRI)",4472,1987,389.52,"I","","0"
"South Africa",710,"National Rainfall Index (NRI)",4472,1987,534.78,"I","","0"
"Spain",724,"National Rainfall Index (NRI)",4472,1987,585.8833333333,"I","","0"
"Sri Lanka",144,"National Rainfall Index (NRI)",4472,1987,1725.0,"I","","0"
"Suriname",740,"National Rainfall Index (NRI)",4472,1987,1986.5,"I","","0"
"Sweden",752,"National Rainfall Index (NRI)",4472,1987,676.92,"I","","0"
"Switzerland",756,"National Rainfall Index (NRI)",4472,1987,1148.0,"I","","0"
"Syrian Arab Republic",760,"National Rainfall Index (NRI)",4472,1987,459.9777777778,"I","","0"
"Thailand",764,"National Rainfall Index (NRI)",4472,1987,1510.2857142857,"I","","0"
"Togo",768,"National Rainfall Index (NRI)",4472,1987,1118.0,"X","","5966"
"Trinidad and Tobago",780,"National Rainfall Index (NRI)",4472,1987,1838.5,"I","","0"
"Tunisia",788,"National Rainfall Index (NRI)",4472,1987,334.95,"I","","0"
"Turkey",792,"National Rainfall Index (NRI)",4472,1987,589.5285714286,"I","","0"
"Uganda",800,"National Rainfall Index (NRI)",4472,1987,1219.0,"I","","0"
"United Arab Emirates",784,"National Rainfall Index (NRI)",4472,1987,51.5471428571,"I","","0"
"United Kingdom",826,"National Rainfall Index (NRI)",4472,1987,1012.86,"I","","0"
"United Republic of Tanzania",834,"National Rainfall Index (NRI)",4472,1987,1101.75,"I","","0"
"United States of America",840,"National Rainfall Index (NRI)",4472,1987,991.625,"I","","0"
"Uruguay",858,"National Rainfall Index (NRI)",4472,1987,1353.0,"X","","5966"
"Venezuela (Bolivarian Republic of)",862,"National Rainfall Index (NRI)",4472,1987,1804.6666666667,"I","","0"
"Viet Nam",704,"National Rainfall Index (NRI)",4472,1987,1601.8,"I","","0"
"Yemen",887,"National Rainfall Index (NRI)",4472,1987,256.4666666667,"I","","0"
"Zambia",894,"National Rainfall Index (NRI)",4472,1987,984.5,"I","","0"
"Zimbabwe",716,"National Rainfall Index (NRI)",4472,1987,526.65,"I","","0"
"Afghanistan",4,"Total renewable water resources",4188,1987,65.33,"E","","0"
"Albania",8,"Total renewable water resources",4188,1987,30.2,"E","","0"
"Algeria",12,"Total renewable water resources",4188,1987,11.667,"E","","0"
"Andorra",20,"Total renewable water resources",4188,1987,0.3156,"X","","6036"
"Angola",24,"Total renewable water resources",4188,1987,148.4,"E","","0"
"Antigua and Barbuda",28,"Total renewable water resources",4188,1987,0.052,"","","1537"
"Argentina",32,"Total renewable water resources",4188,1987,876.24,"E","","0"
"Australia",36,"Total renewable water resources",4188,1987,492.0,"E","","0"
"Austria",40,"Total renewable water resources",4188,1987,77.7,"E","","0"
"Bahamas",44,"Total renewable water resources",4188,1987,0.7,"E","","6433"
"Bahrain",48,"Total renewable water resources",4188,1987,0.116,"E","","0"
"Bangladesh",50,"Total renewable water resources",4188,1987,1227.032,"E","","0"
"Barbados",52,"Total renewable water resources",4188,1987,0.08,"E","","0"
"Belgium",56,"Total renewable water resources",4188,1987,18.3,"E","","0"
"Belize",84,"Total renewable water resources",4188,1987,21.734,"E","","0"
"Benin",204,"Total renewable water resources",4188,1987,26.39,"E","","0"
"Bhutan",64,"Total renewable water resources",4188,1987,95.0,"E","","0"
"Bolivia (Plurinational State of)",68,"Total renewable water resources",4188,1987,574.0,"E","","0"
"Botswana",72,"Total renewable water resources",4188,1987,12.24,"E","","0"
"Brazil",76,"Total renewable water resources",4188,1987,8647.0,"E","","0"
"Brunei Darussalam",96,"Total renewable water resources",4188,1987,8.5,"E","","0"
"Bulgaria",100,"Total renewable water resources",4188,1987,21.3,"E","","0"
"Burkina Faso",854,"Total renewable water resources",4188,1987,13.5,"E","","0"
"Burundi",108,"Total renewable water resources",4188,1987,12.536,"E","","0"
"Cabo Verde",132,"Total renewable water resources",4188,1987,0.3,"E","","0"
"Cambodia",116,"Total renewable water resources",4188,1987,476.1,"E","","0"
"Cameroon",120,"Total renewable water resources",4188,1987,283.15,"E","","0"
"Canada",124,"Total renewable water resources",4188,1987,2902.0,"E","","0"
"Central African Republic",140,"Total renewable water resources",4188,1987,141.0,"E","","0"
"Chad",148,"Total renewable water resources",4188,1987,45.7,"E","","0"
"Chile",152,"Total renewable water resources",4188,1987,923.06,"E","","0"
"China",156,"Total renewable water resources",4188,1987,2840.22,"E","","0"
"Colombia",170,"Total renewable water resources",4188,1987,2360.0,"E","","0"
"Comoros",174,"Total renewable water resources",4188,1987,1.2,"E","[149]","0"
"Congo",178,"Total renewable water resources",4188,1987,832.0,"E","","0"
"Cook Islands",184,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Costa Rica",188,"Total renewable water resources",4188,1987,113.0,"E","","0"
"Côte d'Ivoire",384,"Total renewable water resources",4188,1987,84.14,"E","","0"
"Cuba",192,"Total renewable water resources",4188,1987,38.12,"E","","0"
"Cyprus",196,"Total renewable water resources",4188,1987,0.78,"E","","0"
"Democratic People's Republic of Korea",408,"Total renewable water resources",4188,1987,77.15,"E","","0"
"Democratic Republic of the Congo",180,"Total renewable water resources",4188,1987,1283.0,"E","","0"
"Denmark",208,"Total renewable water resources",4188,1987,6.0,"E","","0"
"Djibouti",262,"Total renewable water resources",4188,1987,0.3,"E","","0"
"Dominica",212,"Total renewable water resources",4188,1987,0.2,"E","","6433"
"Dominican Republic",214,"Total renewable water resources",4188,1987,23.5,"E","","0"
"Ecuador",218,"Total renewable water resources",4188,1987,442.4,"E","","0"
"Egypt",818,"Total renewable water resources",4188,1987,57.5,"E","","0"
"El Salvador",222,"Total renewable water resources",4188,1987,26.27,"E","","0"
"Equatorial Guinea",226,"Total renewable water resources",4188,1987,26.0,"E","","0"
"Eswatini",748,"Total renewable water resources",4188,1987,4.51,"E","","0"
"Faroe Islands",234,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Fiji",242,"Total renewable water resources",4188,1987,28.55,"E","","0"
"Finland",246,"Total renewable water resources",4188,1987,110.0,"E","","0"
"France",250,"Total renewable water resources",4188,1987,211.0,"E","","0"
"Gabon",266,"Total renewable water resources",4188,1987,166.0,"E","","0"
"Gambia",270,"Total renewable water resources",4188,1987,8.0,"E","","0"
"Germany",276,"Total renewable water resources",4188,1987,154.0,"E","","0"
"Ghana",288,"Total renewable water resources",4188,1987,56.2,"E","","0"
"Greece",300,"Total renewable water resources",4188,1987,68.4,"E","","0"
"Grenade",308,"Total renewable water resources",4188,1987,0.2,"E","","6433"
"Guatemala",320,"Total renewable water resources",4188,1987,127.91,"E","","0"
"Guinea",324,"Total renewable water resources",4188,1987,226.0,"E","","0"
"Guinea-Bissau",624,"Total renewable water resources",4188,1987,31.4,"E","","0"
"Guyana",328,"Total renewable water resources",4188,1987,271.0,"E","","0"
"Haiti",332,"Total renewable water resources",4188,1987,14.022,"E","","0"
"Holy See",336,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Honduras",340,"Total renewable water resources",4188,1987,92.164,"E","","0"
"Hungary",348,"Total renewable water resources",4188,1987,104.0,"E","","0"
"Iceland",352,"Total renewable water resources",4188,1987,170.0,"E","","0"
"India",356,"Total renewable water resources",4188,1987,1910.9,"E","","0"
"Indonesia",360,"Total renewable water resources",4188,1987,2018.7,"E","","0"
"Iran (Islamic Republic of)",364,"Total renewable water resources",4188,1987,137.045,"E","","0"
"Iraq",368,"Total renewable water resources",4188,1987,89.86,"E","","0"
"Ireland",372,"Total renewable water resources",4188,1987,52.0,"E","","0"
"Israel",376,"Total renewable water resources",4188,1987,1.78,"E","","0"
"Italy",380,"Total renewable water resources",4188,1987,191.3,"E","","0"
"Jamaica",388,"Total renewable water resources",4188,1987,10.823,"E","","0"
"Japan",392,"Total renewable water resources",4188,1987,430.0,"E","","0"
"Jordan",400,"Total renewable water resources",4188,1987,0.937,"E","","0"
"Kenya",404,"Total renewable water resources",4188,1987,30.7,"E","","0"
"Kiribati",296,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Kuwait",414,"Total renewable water resources",4188,1987,0.02,"E","","0"
"Lao People's Democratic Republic",418,"Total renewable water resources",4188,1987,333.5,"E","","0"
"Lebanon",422,"Total renewable water resources",4188,1987,4.503,"E","","0"
"Lesotho",426,"Total renewable water resources",4188,1987,3.022,"E","","0"
"Liberia",430,"Total renewable water resources",4188,1987,232.0,"E","","0"
"Libya",434,"Total renewable water resources",4188,1987,0.7,"E","","0"
"Liechtenstein",438,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Luxembourg",442,"Total renewable water resources",4188,1987,3.5,"E","","0"
"Madagascar",450,"Total renewable water resources",4188,1987,337.0,"E","","0"
"Malawi",454,"Total renewable water resources",4188,1987,17.28,"E","","0"
"Malaysia",458,"Total renewable water resources",4188,1987,580.0,"E","","0"
"Maldives",462,"Total renewable water resources",4188,1987,0.03,"E","","0"
"Mali",466,"Total renewable water resources",4188,1987,120.0,"E","","0"
"Malta",470,"Total renewable water resources",4188,1987,0.0505,"E","","0"
"Marshall Islands",584,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Mauritania",478,"Total renewable water resources",4188,1987,11.4,"E","","0"
"Mauritius",480,"Total renewable water resources",4188,1987,2.751,"E","","0"
"Mexico",484,"Total renewable water resources",4188,1987,461.888,"E","","0"
"Micronesia (Federated States of)",583,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Mongolia",496,"Total renewable water resources",4188,1987,34.8,"E","","0"
"Morocco",504,"Total renewable water resources",4188,1987,29.0,"E","","0"
"Mozambique",508,"Total renewable water resources",4188,1987,217.1,"E","","0"
"Myanmar",104,"Total renewable water resources",4188,1987,1167.8,"E","","0"
"Namibia",516,"Total renewable water resources",4188,1987,39.91,"E","","0"
"Nauru",520,"Total renewable water resources",4188,1987,0.01,"E","","0"
"Nepal",524,"Total renewable water resources",4188,1987,210.2,"E","","0"
"Netherlands",528,"Total renewable water resources",4188,1987,91.0,"E","","0"
"New Zealand",554,"Total renewable water resources",4188,1987,327.0,"","[150]","1589"
"Nicaragua",558,"Total renewable water resources",4188,1987,164.52,"E","","0"
"Niger",562,"Total renewable water resources",4188,1987,34.05,"E","","0"
"Nigeria",566,"Total renewable water resources",4188,1987,286.2,"E","","0"
"Niue",570,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Norway",578,"Total renewable water resources",4188,1987,393.0,"E","","0"
"Oman",512,"Total renewable water resources",4188,1987,1.4,"E","","0"
"Pakistan",586,"Total renewable water resources",4188,1987,246.8,"E","","0"
"Palau",585,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Palestine",275,"Total renewable water resources",4188,1987,0.837,"E","","0"
"Panama",591,"Total renewable water resources",4188,1987,139.304,"E","","0"
"Papua New Guinea",598,"Total renewable water resources",4188,1987,801.0,"E","","0"
"Paraguay",600,"Total renewable water resources",4188,1987,387.77,"E","","0"
"Peru",604,"Total renewable water resources",4188,1987,1879.8,"E","","0"
"Philippines",608,"Total renewable water resources",4188,1987,479.0,"E","","0"
"Poland",616,"Total renewable water resources",4188,1987,60.5,"E","","0"
"Portugal",620,"Total renewable water resources",4188,1987,77.4,"E","","0"
"Puerto Rico",630,"Total renewable water resources",4188,1987,7.1,"","","1620"
"Qatar",634,"Total renewable water resources",4188,1987,0.058,"E","","0"
"Republic of Korea",410,"Total renewable water resources",4188,1987,69.7,"E","","0"
"Romania",642,"Total renewable water resources",4188,1987,212.01,"E","","0"
"Rwanda",646,"Total renewable water resources",4188,1987,13.3,"E","","0"
"Saint Kitts and Nevis",659,"Total renewable water resources",4188,1987,0.024,"E","","0"
"Saint Lucia",662,"Total renewable water resources",4188,1987,0.3,"E","","6433"
"Saint Vincent and the Grenadines",670,"Total renewable water resources",4188,1987,0.1,"E","","6433"
"Samoa",882,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Sao Tome and Principe",678,"Total renewable water resources",4188,1987,2.18,"","","1561"
"Saudi Arabia",682,"Total renewable water resources",4188,1987,2.4,"E","","0"
"Senegal",686,"Total renewable water resources",4188,1987,38.97,"E","","0"
"Seychelles",690,"Total renewable water resources",4188,1987,0.0,"E","","0"
"Sierra Leone",694,"Total renewable water resources",4188,1987,160.0,"E","","0"
"Singapore",702,"Total renewable water resources",4188,1987,0.6,"","","1618"
"Solomon Islands",90,"Total renewable water resources",4188,1987,44.7,"E","","0"
